,cl_id,condition_id,young_modulus
0,22rv1,30kcol,4017.777053147354
1,22rv1,30kcol,3378.960363141663
2,22rv1,30kcol,3825.577351764649
3,22rv1,30kcol,3440.7641152517085
4,22rv1,30kcol,3580.165897237839
5,22rv1,30kcol,3105.8630557786582
6,22rv1,30kcol,3334.9852579368176
7,22rv1,30kcol,3518.817548185577
8,22rv1,30kcol,3271.8650763938467
9,22rv1,30kcol,3469.3442529075132
10,22rv1,30kcol,3520.509298063271
11,22rv1,30kcol,3621.1338302159875
12,22rv1,30kcol,3478.2816159640033
13,22rv1,30kcol,2719.4769490283406
14,22rv1,30kcol,3433.6906592526548
15,22rv1,30kcol,3158.532366327761
16,22rv1,30kcol,3397.2621423323308
17,22rv1,30kcol,3423.7652834911996
18,22rv1,30kcol,3319.574251860796
19,22rv1,30kcol,3957.933585318387
20,22rv1,30kcol,3779.574023768772
21,22rv1,30kcol,3455.864627002885
22,22rv1,30kcol,3377.874793174807
23,22rv1,30kcol,3606.3284815607685
24,22rv1,30kcol,3666.3111831420592
25,22rv1,30kcol,3330.8867172064165
26,22rv1,30kcol,3338.370109571439
27,22rv1,30kcol,3548.600966699352
28,22rv1,30kcol,3611.971655702563
29,22rv1,30kcol,4071.416780879529
30,22rv1,30kcol,3708.0225838595456
31,22rv1,30kcol,3826.481458683214
32,22rv1,30kcol,3335.5740179962145
33,22rv1,30kcol,3529.1443731740387
34,22rv1,30kcol,2896.5366389247733
35,22rv1,30kcol,3438.9981380947434
36,22rv1,30kcol,3714.64545614866
37,22rv1,30kcol,3020.6220696134887
38,22rv1,30kcol,3463.03791649503
39,22rv1,30kcol,4192.655325614357
40,22rv1,30kcol,4029.5641799254927
41,22rv1,30kcol,3546.776028340978
42,22rv1,30kcol,3816.3232190200897
43,22rv1,30kcol,3654.8361045464926
44,22rv1,30kcol,3892.8986443766594
45,22rv1,30kcol,3040.807505191383
46,22rv1,30kcol,3375.2853126697287
47,22rv1,30kcol,3214.6806005566295
48,22rv1,30kcol,3372.48855265316
49,22rv1,30kcol,3272.442683012192
50,22rv1,30kcol,3615.1052866120544
51,22rv1,30kcol,3381.2376175517393
52,22rv1,30kcol,3672.39087018161
53,22rv1,30kcol,3420.5410260442927
54,22rv1,30kcol,3580.643157497252
55,22rv1,30kcol,3364.318677485002
56,22rv1,30kcol,3787.718496240382
57,22rv1,30kcol,3470.1359193899975
58,22rv1,30kcol,3974.9028561756677
59,22rv1,30kcol,3246.8727691444738
60,22rv1,30kcol,3668.8873873280163
61,22rv1,30kcol,3404.8909610714613
62,22rv1,30kcol,3295.9469543264563
63,22rv1,30kcol,3280.0279113062834
64,22rv1,30kcol,3299.0982348672305
65,22rv1,30kcol,3300.0386664709586
66,22rv1,30kcol,3518.879037228813
67,22rv1,30kcol,3840.1684497717424
68,22rv1,30kcol,3590.003178944162
69,22rv1,30kcol,3357.7440520630716
70,22rv1,30kcol,3261.5378479345427
71,22rv1,30kcol,3588.49025840806
72,22rv1,30kcol,3316.1471617562115
73,22rv1,30kcol,3372.618960219534
74,22rv1,30kcol,3389.6783600273056
75,22rv1,30kcol,3082.0335289139143
76,22rv1,30kcol,3976.052925337024
77,22rv1,30kcol,3581.1930553858897
78,22rv1,30kcol,2602.7725843159146
79,22rv1,30kcol,3437.004721932146
80,22rv1,30kcol,3431.312065052352
81,22rv1,30kcol,3935.4430489168844
82,22rv1,30kcol,3295.7821031889166
83,22rv1,30kcol,2900.6940448022106
84,22rv1,30kcol,4133.796407599695
85,22rv1,30kcol,4016.686491182639
86,22rv1,30kcol,3635.211787923574
87,22rv1,30kcol,3503.8135531523576
88,22rv1,30kcol,3329.271351236248
89,22rv1,30kcol,3479.240432606368
90,22rv1,30kcol,4191.6001024586
91,22rv1,30kcol,3721.9766838156615
92,22rv1,30kcol,3500.170759578882
93,22rv1,30kcol,3174.653700759816
94,22rv1,30kcol,3470.210127453178
95,22rv1,30kcol,3072.953220937661
96,22rv1,30kcol,3391.797773850143
97,22rv1,30kcol,3377.1329160642117
98,22rv1,30kcol,3668.1198040040717
99,22rv1,30kfn,3467.0933323036516
100,22rv1,30kfn,3623.8096557977487
101,22rv1,30kfn,3199.0797749158655
102,22rv1,30kfn,3544.5430682228643
103,22rv1,30kfn,3272.852399652994
104,22rv1,30kfn,3249.6798561566166
105,22rv1,30kfn,3233.207074591444
106,22rv1,30kfn,3626.701710262536
107,22rv1,30kfn,3691.7368700440047
108,22rv1,30kfn,3498.376250532334
109,22rv1,30kfn,4227.993484194771
110,22rv1,30kfn,3720.803932417704
111,22rv1,30kfn,3735.748220681773
112,22rv1,30kfn,3301.720604405401
113,22rv1,30kfn,3876.4817489976576
114,22rv1,30kfn,3679.968316120865
115,22rv1,30kfn,3174.8577023486305
116,22rv1,30kfn,3765.502320811196
117,22rv1,30kfn,3651.871580465484
118,22rv1,30kfn,3385.055378355895
119,22rv1,30kfn,2844.3373925998644
120,22rv1,30kfn,3206.172031918538
121,22rv1,30kfn,3657.5650884196134
122,22rv1,30kfn,3043.722301506007
123,22rv1,30kfn,2972.20739452648
124,22rv1,30kfn,3081.1248592633683
125,22rv1,30kfn,3515.859603269006
126,22rv1,30kfn,3903.495125697492
127,22rv1,30kfn,2815.712011491623
128,22rv1,30kfn,3728.622060480871
129,22rv1,30kfn,3166.7451977387636
130,22rv1,30kfn,3442.2394615025855
131,22rv1,30kfn,3267.2319453916816
132,22rv1,30kfn,3768.106011225473
133,22rv1,30kfn,3224.8631553137766
134,22rv1,30kfn,3764.661549334694
135,22rv1,30kfn,3350.943965730045
136,22rv1,30kfn,3916.5858727188092
137,22rv1,30kfn,2919.716968520806
138,22rv1,30kfn,3413.5618810404844
139,22rv1,30kfn,3105.18117600949
140,22rv1,30kfn,3598.8500988535134
141,22rv1,30kfn,3614.5209379928397
142,22rv1,30kfn,2933.8479851137167
143,22rv1,30kfn,3516.9667096761113
144,22rv1,30kfn,3391.3770371664705
145,22rv1,30kfn,3284.6342676374397
146,22rv1,30kfn,3236.4087575149765
147,22rv1,30kfn,4112.956680864238
148,22rv1,30kfn,3292.3751465317628
149,22rv1,30kfn,3622.1614278499824
150,22rv1,30kfn,3732.062426525079
151,22rv1,30kfn,3336.9907539976875
152,22rv1,30kfn,3529.404309864479
153,22rv1,30kfn,3129.0689168956396
154,22rv1,30kfn,2757.889716361876
155,22rv1,30kfn,3297.492583963057
156,22rv1,30kfn,3665.043145018809
157,22rv1,30kfn,3436.5261875206897
158,22rv1,30kfn,3343.7321257195276
159,22rv1,30kfn,3261.8839799671155
160,22rv1,30kfn,3401.5278867758348
161,22rv1,30kfn,3299.998777794614
162,22rv1,30kfn,3628.821987633564
163,22rv1,30kfn,3627.5661578044765
164,22rv1,30kfn,3064.8533256450773
165,22rv1,30kfn,3206.185222942264
166,22rv1,30kfn,3939.463823843835
167,22rv1,30kfn,3535.672873870466
168,22rv1,30kfn,3431.0361521373547
169,22rv1,30kfn,3483.5154495998436
170,22rv1,30kfn,3525.550093655316
171,22rv1,30kfn,3428.459825848318
172,22rv1,30kfn,3658.882233305578
173,22rv1,30kfn,3133.4741809502943
174,22rv1,30kfn,3307.672264007445
175,22rv1,30kfn,3512.908526285005
176,22rv1,30kfn,3385.6425843854995
177,22rv1,30kfn,3126.924322083219
178,22rv1,30kfn,3032.9900961873045
179,22rv1,30kfn,3733.4648098819403
180,22rv1,30kfn,3302.9134998152194
181,22rv1,30kfn,3319.602275384147
182,22rv1,30kfn,3177.3315003915422
183,22rv1,30kfn,3452.1682467248934
184,22rv1,30kfn,3202.71598151506
185,22rv1,30kfn,3461.9756245847366
186,22rv1,30kfn,3374.4413849321472
187,22rv1,30kfn,3452.460003257671
188,22rv1,30kfn,3685.335328757969
189,22rv1,30kfn,3561.526083300689
190,22rv1,30kfn,3597.694558059514
191,22rv1,30kfn,3645.8318927175083
192,22rv1,30kfn,3263.065893630509
193,22rv1,30kfn,3223.6539757768287
194,22rv1,30kfn,3013.658589580944
195,22rv1,30kfn,3653.5751171984803
196,22rv1,30kfn,4011.8602923496137
197,22rv1,30kfn,3096.373511150184
198,22rv1,30kfn,3520.152204543454
199,22rv1,500paacol,3487.7292611042913
200,22rv1,500paacol,3348.3008183072952
201,22rv1,500paacol,3873.525339714217
202,22rv1,500paacol,3595.220263097395
203,22rv1,500paacol,3392.9929330586565
204,22rv1,500paacol,3378.8907396448085
205,22rv1,500paacol,3822.3030930866016
206,22rv1,500paacol,3824.162685620444
207,22rv1,500paacol,3594.0745369298666
208,22rv1,500paacol,3451.7850066987303
209,22rv1,500paacol,3628.2969153083905
210,22rv1,500paacol,3757.860651246692
211,22rv1,500paacol,3299.4159348008156
212,22rv1,500paacol,3512.6944657181466
213,22rv1,500paacol,3307.186839713956
214,22rv1,500paacol,3987.6663778015063
215,22rv1,500paacol,3701.153243889493
216,22rv1,500paacol,3568.8515823511552
217,22rv1,500paacol,3255.455609291094
218,22rv1,500paacol,3572.9859111225264
219,22rv1,500paacol,3823.700615794901
220,22rv1,500paacol,3310.0403736366534
221,22rv1,500paacol,3130.933014816491
222,22rv1,500paacol,3829.452828849264
223,22rv1,500paacol,3548.8009864136056
224,22rv1,500paacol,3785.8153547089787
225,22rv1,500paacol,3439.1314333975597
226,22rv1,500paacol,3861.9895604535586
227,22rv1,500paacol,3552.1916299993854
228,22rv1,500paacol,3608.7187654480144
229,22rv1,500paacol,3655.512321960438
230,22rv1,500paacol,2492.2895762829826
231,22rv1,500paacol,3375.126398407674
232,22rv1,500paacol,3548.071623267283
233,22rv1,500paacol,3166.043480495496
234,22rv1,500paacol,3378.723269946857
235,22rv1,500paacol,3103.5995706465046
236,22rv1,500paacol,3381.0514622621945
237,22rv1,500paacol,3638.5948425329607
238,22rv1,500paacol,3393.80970200465
239,22rv1,500paacol,3466.20486199697
240,22rv1,500paacol,3617.3472403663854
241,22rv1,500paacol,3666.953890610075
242,22rv1,500paacol,3779.451687783827
243,22rv1,500paacol,3567.8375739038866
244,22rv1,500paacol,3346.529855665237
245,22rv1,500paacol,3871.0559595443037
246,22rv1,500paacol,3184.3847920100707
247,22rv1,500paacol,3773.070078299957
248,22rv1,500paacol,3365.508236823819
249,22rv1,500paacol,3530.792214549412
250,22rv1,500paacol,3691.049371941102
251,22rv1,500paacol,3658.2882484790844
252,22rv1,500paacol,3626.1761527878803
253,22rv1,500paacol,3191.8917737492065
254,22rv1,500paacol,3377.92442821093
255,22rv1,500paacol,3558.75276291711
256,22rv1,500paacol,3299.7313932740717
257,22rv1,500paacol,3419.6767628328325
258,22rv1,500paacol,3718.2954826518007
259,22rv1,500paacol,2949.5468672666957
260,22rv1,500paacol,3447.540984995272
261,22rv1,500paacol,3336.0289355117943
262,22rv1,500paacol,3562.1284726351496
263,22rv1,500paacol,3976.0811536061847
264,22rv1,500paacol,3772.049777229865
265,22rv1,500paacol,3276.543140106746
266,22rv1,500paacol,3394.473155418491
267,22rv1,500paacol,3509.9947116557128
268,22rv1,500paacol,3459.3952365763607
269,22rv1,500paacol,3326.2638195316563
270,22rv1,500paacol,3357.8111138304894
271,22rv1,500paacol,3824.531671793983
272,22rv1,500paacol,3616.3937764283373
273,22rv1,500paacol,3454.2121572506317
274,22rv1,500paacol,3611.4983741114115
275,22rv1,500paacol,3392.7920790521944
276,22rv1,500paacol,3075.667544718358
277,22rv1,500paacol,3696.5056806216908
278,22rv1,500paacol,3850.491390847399
279,22rv1,500paacol,3508.3546450590475
